x,y,z
76.2860,661.869,1.182
76.6150,661.887,1.133
77.0070,661.922,1.070
77.4030,661.950,1.023
77.8210,661.977,0.974
78.2350,662.008,0.923
78.6400,662.042,0.899
79.0270,662.078,0.863
79.4260,662.106,0.816
79.8260,662.129,0.765
80.2190,662.171,0.721
80.6270,662.198,0.673
81.0320,662.221,0.634
81.4410,662.246,0.585
81.8380,662.280,0.549
82.2470,662.323,0.503
82.6570,662.360,0.459
83.0660,662.401,0.430
83.4650,662.434,0.362
83.8720,662.468,0.321
84.2790,662.504,0.285
86.2020,662.541,0.323
86.5280,662.576,0.266
86.9450,662.615,0.221
87.3730,662.655,0.165
87.7910,662.693,0.123
88.2310,662.734,0.087
88.6680,662.784,0.045
89.4750,662.866,-0.042
90.2820,662.934,-0.114
91.0940,663.015,-0.187
91.9200,663.082,-0.267
92.6890,663.134,-0.323
93.5120,663.179,-0.391
94.3020,663.218,-0.455
95.0850,663.239,-0.528
95.9170,663.280,-0.605
96.6390,663.278,-0.669
97.3490,663.256,-0.715
97.8960,663.243,-0.744
98.4730,663.220,-0.781
99.0160,663.223,-0.838
99.5770,663.200,-0.896
100.1110,663.222,-0.920
100.6450,663.208,-0.965
101.2340,663.249,-1.047
101.7990,663.281,-1.117
102.3640,663.262,-1.203
102.8850,662.813,-1.237
103.4190,662.790,-1.151
103.9510,662.901,-1.139
104.5750,662.868,-1.147
105.1520,662.875,-1.161
105.6860,662.841,-1.181
106.3700,662.770,-1.203
106.9680,662.734,-1.229
107.6560,662.688,-1.239
108.8680,662.559,-1.308
109.5040,662.523,-1.336
110.0230,662.428,-1.336
110.5390,662.360,-1.356
111.4000,662.249,-1.384
112.0890,662.181,-1.409
112.7860,662.101,-1.413
113.5720,662.028,-1.445
114.2950,662.031,-1.471
115.0740,662.001,-1.511
116.3000,661.919,-1.553
116.8710,661.822,-1.613
117.6890,661.794,-1.620
118.5960,661.780,-1.684
119.3880,661.782,-1.736
120.2410,661.776,-1.801
121.0840,661.781,-1.852
121.8400,661.832,-1.871
122.5910,661.891,-1.919
123.3490,661.951,-1.951
124.0410,661.945,-1.977
124.7310,661.983,-2.015
125.3860,662.008,-2.031
125.9740,662.049,-2.047
126.6130,662.051,-2.094
127.3070,662.083,-2.121
127.9690,662.116,-2.139
128.6240,662.145,-2.168
129.2590,662.109,-2.185
130.0740,662.215,-2.237
130.8340,662.319,-2.282
131.6300,662.432,-2.336
132.3670,662.552,-2.387
133.1660,662.606,-2.440
134.1830,662.785,-2.537
134.9510,662.928,-2.631
135.5610,662.600,-2.592
136.4220,662.307,-2.640
137.2040,662.050,-2.688
138.0230,662.608,-2.671
138.7080,663.009,-2.725
139.2530,663.338,-2.750
139.9610,663.481,-2.719
140.5600,663.725,-2.751
141.0920,664.003,-2.809
141.6110,664.029,-2.704
142.4280,664.149,-2.691
143.2730,664.334,-2.732
144.0430,664.601,-2.782
144.7940,664.706,-2.830
145.6510,664.428,-2.784
146.5510,664.030,-2.820
147.2790,663.807,-2.859
147.8760,663.734,-2.801
148.4830,663.766,-2.802
149.1850,663.846,-2.823
150.0080,663.799,-2.822
150.7120,663.820,-2.794
151.3060,663.831,-2.750
151.8700,663.896,-2.742
152.4740,663.904,-2.767
152.9970,663.960,-2.763
153.5290,664.120,-2.771
154.1460,664.293,-2.823
154.7200,664.910,-2.840
155.2740,664.947,-2.822
156.1160,664.815,-2.821
156.6210,664.768,-2.812
157.2360,664.776,-2.783
158.1340,664.792,-2.809
159.0860,664.729,-2.882
159.7810,664.825,-2.854
160.4980,664.828,-2.865
161.1030,664.829,-2.868
161.6080,664.988,-2.824
162.4230,664.932,-2.809
163.1880,664.723,-2.880
164.0280,664.631,-2.921
164.7930,664.824,-2.896
165.3000,664.996,-2.880
166.1450,665.163,-2.884
166.8870,665.176,-2.856
167.5520,665.064,-2.847
168.3170,664.999,-2.835
169.0800,664.858,-2.852
169.9430,664.578,-2.944
170.6540,664.444,-2.966
171.2680,664.608,-2.917
172.1930,664.673,-2.900
173.0650,664.546,-2.932
173.8630,664.477,-2.933
174.5640,664.499,-2.940
175.2760,664.563,-2.962
176.0430,664.621,-3.001
176.9570,664.731,-3.071
177.7800,664.878,-3.163
178.5160,665.035,-3.232
179.1430,664.867,-3.194
180.0010,664.893,-3.229
180.7930,664.771,-3.230
181.5130,664.622,-3.231
182.2230,664.487,-3.246
183.0210,664.289,-3.319
183.6390,663.885,-3.365
184.4550,663.351,-3.459
184.9560,663.185,-3.503
185.6110,662.956,-3.505
186.3680,663.014,-3.560
186.8970,662.929,-3.533
187.4730,662.883,-3.506
188.2140,662.861,-3.547
188.6350,662.718,-3.527
189.4620,662.634,-3.526
190.3240,662.605,-3.549
191.1160,662.541,-3.540
191.7810,662.451,-3.517
192.5380,662.506,-3.550
193.1800,662.453,-3.546
193.9190,662.585,-3.574
194.6300,662.566,-3.566
195.3020,662.643,-3.589
196.0400,662.660,-3.632
196.7350,662.685,-3.636
197.4230,662.517,-3.535
198.0410,662.560,-3.526
198.7790,662.821,-3.514
199.3690,663.060,-3.485
199.9380,663.250,-3.484
200.5110,663.515,-3.445
201.1090,663.481,-3.369
201.8850,663.474,-3.380
202.5640,663.551,-3.375
203.4370,663.958,-3.384
204.0760,664.207,-3.429
205.0250,664.391,-3.484
206.0630,664.535,-3.468
206.8660,664.768,-3.521
207.5630,664.807,-3.507
208.1980,664.920,-3.525
208.7200,664.970,-3.524
209.3700,665.029,-3.534
209.9030,665.096,-3.561
210.5250,665.138,-3.551
211.1390,665.194,-3.579
211.6900,665.113,-3.556
212.2520,665.029,-3.521
212.8260,665.046,-3.591
213.3730,664.790,-3.609
214.2700,664.835,-3.523
215.0520,664.779,-3.486
215.5890,664.695,-3.509
216.6410,664.776,-3.477
217.7240,664.616,-3.517
218.6730,664.651,-3.501
219.4330,664.523,-3.530
220.0140,664.553,-3.494
220.6820,664.518,-3.485
221.4060,664.430,-3.482
222.1660,664.420,-3.486
222.8440,664.323,-3.497
223.5640,664.262,-3.468
224.3280,664.237,-3.467
225.2630,664.106,-3.446
225.9690,663.995,-3.433
227.2780,663.780,-3.394
227.9450,663.702,-3.358
228.5490,663.582,-3.328
229.3260,663.476,-3.304
229.9440,663.396,-3.264
230.5620,663.347,-3.207
231.3930,663.193,-3.215
232.7810,663.059,-3.160
233.6840,662.873,-3.093
234.3570,662.770,-3.035
235.1960,662.720,-3.033
236.4540,662.626,-3.052
237.2080,662.558,-3.004
237.9320,662.473,-3.000
238.6840,662.387,-2.953
239.4850,662.335,-2.918
240.2990,662.268,-2.925
241.0840,662.207,-2.912
241.7720,662.110,-2.911
242.6080,662.051,-2.890
243.3550,662.012,-2.940
244.1310,661.982,-2.913
244.9420,661.907,-2.917
245.6940,661.847,-2.904
246.5220,661.789,-2.889
247.3000,661.757,-2.915
248.0320,661.726,-2.919
248.7510,661.692,-2.918
249.4860,661.645,-2.940
250.2180,661.634,-2.949
250.9850,661.622,-2.967
251.7770,661.606,-2.953
252.5400,661.586,-2.945
253.3760,661.566,-2.981
254.1600,661.563,-2.979
